,0,1,2
159,2999,17-04-2015,beef
160,2614,25-06-2015,whole milk
161,4064,05-06-2015,frankfurter
162,3567,04-10-2015,tropical fruit
163,2587,07-05-2015,canned beer
164,3783,17-06-2015,finished products
165,1923,14-02-2015,beverages
166,4835,19-02-2015,hamburger meat
167,1514,24-08-2015,whole milk
168,3154,22-06-2015,finished products
169,1313,25-12-2015,other vegetables
170,2794,18-07-2015,ham
171,2359,09-04-2015,other vegetables
172,2238,09-03-2015,curd
173,3795,17-01-2015,bottled beer
174,3724,26-11-2015,curd
175,1152,05-03-2015,whole milk
176,4559,16-03-2015,whole milk
177,3922,27-02-2015,dessert
178,1709,22-04-2015,sausage
179,2219,17-04-2015,other vegetables
180,2206,17-10-2015,ham
181,1752,06-04-2015,other vegetables
182,3942,10-11-2015,other vegetables
183,3296,17-08-2015,soda
184,2257,05-02-2015,herbs
185,4313,28-07-2015,frankfurter
186,2001,21-08-2015,rolls/buns
187,2449,08-07-2015,curd
188,4914,12-04-2015,frankfurter
189,2764,24-07-2015,other vegetables
190,4187,09-05-2015,dog food
191,1392,20-04-2015,specialty bar
192,3427,28-04-2015,curd
193,1411,20-02-2015,frankfurter
194,3390,14-11-2015,soda
195,4787,01-08-2015,beef
196,3310,17-01-2015,canned beer
197,1782,10-10-2015,pork
198,3375,26-04-2015,frankfurter
199,2760,07-01-2015,sausage
200,4249,13-09-2015,canned beer
201,2904,06-06-2015,specialty chocolate
202,4090,26-02-2015,curd
203,3060,05-07-2015,canned beer
204,3768,07-10-2015,whole milk
205,1232,21-01-2015,rolls/buns
206,1360,23-10-2015,pork
207,1107,01-10-2015,citrus fruit
208,2865,04-11-2015,pot plants
209,2958,14-06-2015,rolls/buns
210,2448,12-07-2015,butter
211,1222,24-09-2015,condensed milk
212,2943,20-06-2015,sausage
213,2270,11-08-2015,whole milk
214,3812,21-07-2015,sausage
215,1482,22-11-2015,beverages
216,4720,22-02-2015,beverages
217,1344,04-09-2015,bottled water
218,2397,04-10-2015,newspapers
219,4182,12-05-2015,cleaner
220,4487,10-07-2015,sausage
221,3467,24-12-2015,newspapers
222,2443,15-11-2015,sausage
223,2749,27-01-2015,misc. beverages
224,4389,13-04-2015,white wine
225,1674,04-12-2015,sausage
226,4262,16-10-2015,meat
227,2082,07-04-2015,frankfurter
228,4494,06-01-2015,ice cream
229,2460,28-09-2015,canned beer
230,4509,29-11-2015,tropical fruit
231,2267,03-07-2015,meat
232,4891,05-09-2015,whole milk
233,3962,20-09-2015,sausage
234,4964,18-07-2015,frankfurter
235,2914,30-11-2015,meat
236,2808,05-05-2015,root vegetables
237,1085,15-08-2015,root vegetables
238,3808,18-08-2015,whole milk
239,4149,07-01-2015,citrus fruit
240,2331,05-06-2015,citrus fruit
241,4475,03-04-2015,other vegetables
242,2761,25-04-2015,citrus fruit
243,2620,14-12-2015,sausage
244,3206,13-10-2015,frankfurter
245,1226,13-04-2015,hard cheese
246,1395,07-03-2015,cream cheese 
247,2465,07-06-2015,turkey
248,3572,09-07-2015,pork
249,4387,08-05-2015,whole milk
250,1555,27-03-2015,rolls/buns
251,1181,16-11-2015,sausage
252,2814,11-05-2015,ice cream
253,2794,16-09-2015,liquor
254,2912,28-01-2015,pip fruit
255,4667,12-01-2015,root vegetables
256,2235,25-10-2015,soda
257,2353,02-05-2015,soda
258,3449,08-03-2015,sausage
259,1058,10-11-2015,root vegetables
260,1027,17-05-2015,pork
261,3302,22-05-2015,pork
262,2229,30-05-2015,chocolate
263,2188,15-08-2015,fruit/vegetable juice
264,1547,18-04-2015,pickled vegetables
265,1649,30-06-2015,bottled water
266,3254,10-09-2015,frankfurter
267,2818,07-11-2015,tropical fruit
268,2703,08-05-2015,canned beer
269,3332,31-01-2015,root vegetables
270,2473,01-07-2015,meat
271,2810,30-12-2015,frankfurter
272,1033,22-04-2015,tropical fruit
273,4222,27-05-2015,tropical fruit
274,3679,21-09-2015,citrus fruit
275,2212,27-08-2015,hamburger meat
276,1507,22-06-2015,chicken
277,2870,21-01-2015,chicken
278,3429,26-04-2015,frankfurter
279,4148,09-04-2015,canned beer
280,2970,30-12-2015,turkey
281,2013,30-08-2015,packaged fruit/vegetables
282,3967,30-05-2015,pasta
283,2885,15-05-2015,citrus fruit
284,3935,02-07-2015,sausage
285,3283,01-05-2015,whole milk
286,3268,06-11-2015,canned beer
287,3677,30-04-2015,citrus fruit
288,3495,27-06-2015,liquor (appetizer)
289,1410,04-10-2015,citrus fruit
290,2440,06-06-2015,sausage
291,4088,13-01-2015,chicken
292,2469,23-09-2015,hamburger meat
293,4229,06-03-2015,sausage
294,2728,02-08-2015,beef
295,4694,25-01-2015,citrus fruit
296,2836,29-12-2015,UHT-milk
297,1311,12-02-2015,candy
298,1760,23-01-2015,newspapers
299,3656,02-03-2015,beef
300,3720,28-05-2015,sausage
301,2996,26-09-2015,frankfurter
302,1949,22-07-2015,canned beer
303,4498,11-02-2015,bottled beer
304,2447,28-12-2015,onions
305,1952,23-03-2015,tropical fruit
306,4099,27-01-2015,bottled water
307,1804,12-03-2015,beef
308,1510,16-05-2015,sausage
309,2879,18-04-2015,hair spray
310,4899,12-03-2015,chicken
311,4326,29-09-2015,pork
312,1670,17-05-2015,ice cream
313,1117,24-05-2015,meat
314,1346,03-04-2015,other vegetables
315,1178,15-11-2015,bottled water
316,1649,25-06-2015,tropical fruit
317,4651,21-06-2015,photo/film
318,4243,02-04-2015,sausage
319,4429,21-07-2015,grapes
320,4645,25-07-2015,domestic eggs
321,4019,24-07-2015,rolls/buns
322,4459,26-04-2015,tropical fruit
323,3006,27-12-2015,chicken
324,1834,17-09-2015,frankfurter
325,3236,04-07-2015,berries
326,1765,11-03-2015,margarine
327,3855,09-03-2015,tropical fruit
328,4392,28-11-2015,ham
329,3330,26-07-2015,hamburger meat
330,1723,02-09-2015,yogurt
331,4110,30-03-2015,soda
332,2600,28-01-2015,yogurt
333,2946,07-10-2015,soda
334,2426,08-09-2015,bottled water
335,4170,03-05-2015,sausage
336,1109,06-04-2015,citrus fruit
337,3429,04-01-2015,shopping bags
338,2055,04-02-2015,newspapers
339,2480,20-09-2015,frankfurter
340,2441,30-05-2015,sausage
341,1054,04-10-2015,frankfurter
342,4818,11-01-2015,salt
343,3379,21-01-2015,oil
344,3939,10-02-2015,curd
345,1367,05-08-2015,other vegetables
346,1043,10-01-2015,citrus fruit
347,2231,17-10-2015,frankfurter
348,3235,28-12-2015,root vegetables
349,4554,16-07-2015,tropical fruit
350,3245,24-01-2015,beef
351,2996,19-05-2015,berries
352,2507,05-01-2015,canned beer
353,4186,25-10-2015,whipped/sour cream
354,3929,28-04-2015,root vegetables
355,3760,22-11-2015,whole milk
356,4928,18-08-2015,beef
357,4217,18-12-2015,frozen vegetables
358,1174,11-02-2015,rolls/buns
359,4103,19-06-2015,whole milk
360,4408,13-03-2015,whole milk
361,2588,28-12-2015,citrus fruit
362,2598,11-11-2015,pastry
363,1518,11-12-2015,frankfurter
364,2702,08-04-2015,tropical fruit
365,1001,20-01-2015,frankfurter
366,2270,30-09-2015,berries
367,2838,10-11-2015,rolls/buns
368,1683,26-05-2015,root vegetables
369,4040,03-04-2015,yogurt
370,3897,23-08-2015,other vegetables
371,2200,11-03-2015,berries
372,4073,29-01-2015,berries
373,3700,19-04-2015,other vegetables
374,3973,10-06-2015,rolls/buns
375,2715,06-07-2015,ham
376,3967,23-11-2015,whole milk
377,4002,03-09-2015,tropical fruit
378,2962,01-03-2015,bottled water
379,4340,25-12-2015,butter milk
380,2092,06-11-2015,newspapers
381,3143,24-05-2015,coffee
382,2209,03-10-2015,bottled beer
383,2816,22-08-2015,onions
384,2659,01-06-2015,hamburger meat
385,1588,13-10-2015,sausage
386,1144,15-10-2015,hard cheese
387,2166,10-12-2015,sausage
388,3300,06-10-2015,hamburger meat
389,3944,03-01-2015,onions
390,4979,24-04-2015,coffee
391,2630,21-01-2015,shopping bags
392,4240,29-04-2015,yogurt
393,2357,08-07-2015,soda
394,1743,18-04-2015,sliced cheese
395,2331,15-02-2015,sausage
396,1643,28-04-2015,yogurt
397,1291,20-03-2015,domestic eggs
398,3675,04-07-2015,whole milk
399,4134,06-11-2015,meat
400,1363,21-06-2015,dish cleaner
401,4212,01-05-2015,other vegetables
402,1500,21-03-2015,whole milk
403,2622,01-10-2015,other vegetables
404,3543,18-03-2015,tropical fruit
405,2525,24-05-2015,baking powder
406,1264,12-10-2015,specialty bar
407,3601,06-07-2015,ice cream
408,1771,23-03-2015,frankfurter
409,4694,06-02-2015,canned beer
410,1122,21-12-2015,bottled water
411,3507,12-08-2015,other vegetables
412,4524,26-04-2015,citrus fruit
413,3612,27-09-2015,sausage
414,3262,11-06-2015,domestic eggs
415,1897,25-01-2015,pork
416,1656,30-10-2015,specialty cheese
417,3953,10-01-2015,pork
418,1488,21-06-2015,beef
419,1652,17-03-2015,other vegetables
420,4953,16-09-2015,chicken
421,3445,30-04-2015,soda
422,3180,15-03-2015,whole milk
423,4934,06-09-2015,rolls/buns
424,2980,27-04-2015,bottled beer
425,2763,13-02-2015,root vegetables
426,4819,04-03-2015,pastry
427,3169,02-07-2015,berries
428,1850,11-03-2015,citrus fruit
429,4285,29-12-2015,whole milk
430,4366,13-08-2015,soda
431,2253,16-06-2015,bottled water
432,3398,11-03-2015,tropical fruit
433,2215,22-07-2015,salty snack
434,3737,03-03-2015,bottled water
435,2649,28-11-2015,chocolate
436,3203,07-08-2015,citrus fruit
437,4261,16-02-2015,bottled water
438,2435,17-07-2015,onions
439,2046,21-08-2015,dessert
440,4267,11-02-2015,beef
441,1086,28-12-2015,rolls/buns
442,1992,04-01-2015,beef
443,3622,26-07-2015,soda
444,4700,27-06-2015,coffee
445,2272,16-05-2015,rolls/buns
446,1663,19-05-2015,pork
447,2519,03-06-2015,soda
448,2639,30-10-2015,sausage
449,1466,19-04-2015,beef
450,4122,23-10-2015,whole milk
451,3598,15-04-2015,pork
452,3097,10-08-2015,berries
453,1873,19-09-2015,sausage
454,1537,01-02-2015,bottled water
455,3960,25-03-2015,tropical fruit
456,1136,15-06-2015,herbs
457,2453,21-12-2015,yogurt
458,1746,15-02-2015,Instant food products
459,3572,09-06-2015,specialty chocolate
460,3246,24-06-2015,coffee
461,3207,26-11-2015,bottled beer
462,1042,12-02-2015,beef
463,1176,30-03-2015,whole milk
464,3054,23-02-2015,frankfurter
465,4486,02-12-2015,frankfurter
466,1580,05-12-2015,other vegetables
467,1623,02-11-2015,frankfurter
468,4169,24-11-2015,whole milk
469,2254,24-01-2015,frankfurter
470,4095,01-11-2015,other vegetables
471,1264,17-11-2015,bottled water
472,3375,06-01-2015,pork
473,3242,23-05-2015,bottled water
474,2227,07-06-2015,other vegetables
475,3847,03-12-2015,hamburger meat
476,3897,31-05-2015,hamburger meat
477,1799,27-09-2015,shopping bags
478,2920,26-04-2015,whole milk
479,3713,31-01-2015,ice cream
480,4230,05-11-2015,pastry
481,1455,18-03-2015,ham
482,3687,18-03-2015,frankfurter
483,3869,01-08-2015,sausage
484,2988,14-10-2015,bottled beer
485,4242,30-03-2015,bottled water
486,4118,24-12-2015,meat
487,4996,24-10-2015,dessert
488,4489,04-03-2015,other vegetables
489,1199,09-11-2015,beverages
490,4108,12-05-2015,ham
491,3484,05-06-2015,specialty bar
492,1239,31-08-2015,brown bread
493,4839,19-12-2015,whole milk
494,4748,07-05-2015,rolls/buns
495,4426,06-06-2015,bottled beer
496,3571,11-12-2015,pet care
497,2852,08-06-2015,citrus fruit
498,3638,26-05-2015,pork
499,3635,10-03-2015,other vegetables
500,2723,07-05-2015,white wine
501,3495,11-03-2015,whole milk
502,2813,16-11-2015,pip fruit
503,2799,02-09-2015,sugar
504,4723,22-05-2015,tropical fruit
505,3313,08-04-2015,root vegetables
506,4748,15-12-2015,soda
507,2991,16-02-2015,whole milk
508,1483,01-04-2015,tropical fruit
509,3950,01-10-2015,white bread
510,1634,16-01-2015,brown bread
511,2694,21-11-2015,tropical fruit
512,2707,18-10-2015,domestic eggs
513,2813,16-07-2015,coffee
514,2276,11-01-2015,soda
515,4726,06-02-2015,whole milk
516,4353,25-05-2015,bottled beer
517,4017,13-08-2015,pork
518,1422,21-08-2015,other vegetables
519,2714,15-03-2015,yogurt
520,2769,21-07-2015,sparkling wine
521,4166,30-04-2015,bottled water
522,3614,02-03-2015,citrus fruit
523,4361,05-09-2015,hamburger meat
524,1922,22-09-2015,packaged fruit/vegetables
525,4728,06-09-2015,other vegetables
526,3646,08-08-2015,soda
527,1155,10-08-2015,whole milk
528,2119,11-06-2015,herbs
529,1602,29-08-2015,citrus fruit
530,1074,24-06-2015,misc. beverages
531,2256,11-04-2015,female sanitary products
532,1348,17-09-2015,soda
533,3806,28-08-2015,tropical fruit
534,1711,06-06-2015,soda
535,3959,12-04-2015,white bread
536,1590,15-08-2015,coffee
537,1962,08-06-2015,tropical fruit
538,1766,21-01-2015,pork
539,2551,21-10-2015,citrus fruit
540,2294,23-09-2015,frankfurter
541,4531,29-05-2015,frankfurter
542,2957,12-04-2015,frankfurter
543,4415,27-01-2015,other vegetables
544,1476,26-08-2015,yogurt
545,3978,23-07-2015,sausage
546,2062,22-09-2015,whole milk
547,3252,28-06-2015,pip fruit
548,3922,24-06-2015,whole milk
549,1491,17-10-2015,root vegetables
550,3526,26-08-2015,onions
551,4060,11-12-2015,specialty chocolate
552,1067,08-04-2015,hamburger meat
553,2840,27-01-2015,photo/film
554,4484,27-11-2015,rolls/buns
555,2353,07-02-2015,canned beer
556,3130,18-02-2015,canned beer
557,4273,14-06-2015,other vegetables
558,4565,30-12-2015,canned beer
559,2504,14-08-2015,curd
560,4127,23-10-2015,butter
561,2690,01-04-2015,other vegetables
562,4129,22-09-2015,whole milk
563,4511,29-06-2015,beef
564,1602,04-08-2015,sausage
565,4369,01-02-2015,soda
566,1302,29-09-2015,fruit/vegetable juice
567,3326,30-04-2015,rolls/buns
568,2066,21-05-2015,pip fruit
569,3483,15-01-2015,frozen vegetables
570,2840,12-02-2015,beverages
571,1807,18-05-2015,hamburger meat
572,2067,12-08-2015,root vegetables
573,3783,17-02-2015,canned beer
574,2884,04-01-2015,frozen vegetables
575,2908,15-03-2015,canned beer
576,1330,10-07-2015,newspapers
577,2293,08-05-2015,rolls/buns
578,3718,20-05-2015,hamburger meat
579,4338,25-01-2015,pip fruit
580,3486,08-11-2015,canned beer
581,3635,04-09-2015,grapes
582,2857,18-02-2015,root vegetables
583,3684,13-08-2015,citrus fruit
584,3120,20-10-2015,cling film/bags
585,3872,19-03-2015,frankfurter
586,2777,07-04-2015,whole milk
587,2702,27-05-2015,pork
588,4796,29-06-2015,chicken
589,1564,23-10-2015,sausage
590,2740,02-07-2015,specialty bar
591,1833,13-04-2015,whipped/sour cream
592,1757,23-12-2015,root vegetables
593,2975,24-10-2015,rolls/buns
594,4032,10-08-2015,other vegetables
595,3979,16-09-2015,citrus fruit
596,3772,09-03-2015,whole milk
597,4523,28-10-2015,frankfurter
598,4004,19-04-2015,coffee
599,2936,08-06-2015,ham
600,2394,21-06-2015,canned beer
601,4616,16-08-2015,canned beer
602,2362,08-07-2015,canned beer
603,3593,03-11-2015,pip fruit
604,4389,27-08-2015,pork
605,3206,11-08-2015,soap
606,4601,04-01-2015,pip fruit
607,4382,13-11-2015,beef
608,2718,08-06-2015,sausage
609,4691,12-10-2015,frozen chicken
610,3735,28-11-2015,soda
611,3900,20-12-2015,tropical fruit
612,4959,30-06-2015,other vegetables
613,1815,30-08-2015,beef
614,2454,08-04-2015,meat
615,4778,15-01-2015,meat
616,2289,04-11-2015,bottled water
617,1734,13-07-2015,rolls/buns
618,4019,05-02-2015,pastry
619,4605,28-05-2015,pork
620,4864,14-11-2015,pip fruit
621,4205,22-02-2015,beef
622,1862,03-08-2015,beef
623,1846,19-07-2015,rolls/buns
624,2019,28-05-2015,citrus fruit
625,2042,19-11-2015,meat
626,1768,26-05-2015,beverages
627,3847,26-03-2015,beef
628,3557,20-07-2015,ham
629,3975,27-02-2015,hamburger meat
630,4198,18-03-2015,beef
631,2580,04-09-2015,beef
632,3474,25-08-2015,root vegetables
633,1678,14-11-2015,citrus fruit
634,4254,14-08-2015,yogurt
635,4704,21-08-2015,tropical fruit
636,3343,10-05-2015,frankfurter
637,3812,24-06-2015,beef
638,3093,13-03-2015,shopping bags
639,2170,18-06-2015,canned beer
640,4867,29-10-2015,rolls/buns
641,3899,23-03-2015,other vegetables
642,2941,03-10-2015,hamburger meat
643,1958,03-07-2015,hamburger meat
644,2760,08-08-2015,frankfurter
645,4413,03-08-2015,bottled beer
646,1737,15-05-2015,tropical fruit
647,4202,18-02-2015,soda
648,1065,13-11-2015,frankfurter
649,3819,28-06-2015,chicken
650,2854,08-02-2015,coffee
651,4387,16-09-2015,whole milk
652,4530,12-04-2015,margarine
653,4191,03-11-2015,tropical fruit
654,3102,04-12-2015,meat
655,1946,25-01-2015,cream cheese 
656,2156,15-05-2015,newspapers
657,1444,16-12-2015,rolls/buns
658,1699,14-05-2015,citrus fruit
659,4954,04-05-2015,whole milk
660,2207,08-04-2015,frankfurter
661,4826,28-01-2015,ham
662,2374,08-06-2015,frankfurter
663,1604,18-08-2015,sausage
664,4437,29-11-2015,domestic eggs
665,2319,10-05-2015,whole milk
666,3018,27-06-2015,rolls/buns
667,1195,28-09-2015,whole milk
668,1768,04-09-2015,sausage
669,3017,28-09-2015,curd
670,3384,29-11-2015,bottled water
671,1918,30-01-2015,beef
672,2524,17-10-2015,frankfurter
673,2798,17-06-2015,chicken
674,2096,25-01-2015,sausage
675,1489,13-03-2015,pork
676,1431,20-07-2015,yogurt
677,2747,05-07-2015,whole milk
678,3054,22-03-2015,frankfurter
679,2691,09-10-2015,beef
680,1752,19-04-2015,pip fruit
681,3027,15-09-2015,sausage
682,4452,17-06-2015,pastry
683,4129,13-08-2015,chicken
684,3523,09-11-2015,root vegetables
685,2128,11-02-2015,whole milk
686,4867,03-02-2015,detergent
687,4762,30-10-2015,rolls/buns
688,1632,29-05-2015,house keeping products
689,4018,17-11-2015,yogurt
690,1722,13-07-2015,tropical fruit
691,1438,19-10-2015,tropical fruit
692,3958,27-10-2015,curd
693,3292,13-09-2015,beef
694,2861,23-02-2015,whole milk
695,1757,24-02-2015,pork
696,1509,30-12-2015,other vegetables
697,2364,11-05-2015,rolls/buns
698,3084,26-10-2015,frankfurter
699,1850,17-02-2015,yogurt
700,1949,17-03-2015,whole milk
701,4740,02-10-2015,bottled water
702,1072,23-10-2015,frankfurter
703,4196,09-07-2015,rolls/buns
704,4814,13-09-2015,whole milk
705,1514,28-02-2015,rolls/buns
706,4584,25-10-2015,chicken
707,2751,03-02-2015,tropical fruit
708,4155,24-09-2015,sausage
709,4670,11-10-2015,sausage
710,4566,27-07-2015,frankfurter
711,2371,30-08-2015,UHT-milk
712,3442,14-11-2015,rolls/buns
713,3090,27-09-2015,canned beer
714,1457,09-01-2015,yogurt
715,4952,08-04-2015,whipped/sour cream
716,3165,11-01-2015,rolls/buns
717,2608,19-09-2015,rolls/buns
718,2040,07-10-2015,beverages
719,1327,09-08-2015,rolls/buns
720,3363,07-01-2015,rolls/buns
721,1731,09-09-2015,bottled beer
722,2760,02-08-2015,citrus fruit
723,3120,14-01-2015,bottled water
724,1332,30-04-2015,pastry
725,4530,12-09-2015,domestic eggs
726,3145,23-02-2015,beef
727,1099,13-08-2015,spread cheese
728,3188,06-12-2015,tropical fruit
729,3748,13-10-2015,packaged fruit/vegetables
730,4655,31-03-2015,whole milk
731,1827,01-05-2015,meat
732,2485,17-02-2015,onions
733,4683,15-01-2015,frankfurter
734,4358,06-11-2015,beef
735,1931,09-10-2015,beef
736,2490,18-12-2015,sausage
737,4842,08-12-2015,chicken
738,4616,01-01-2015,canned beer
739,2810,22-09-2015,sausage
740,2785,18-10-2015,tropical fruit
741,3591,20-07-2015,frankfurter
742,3896,10-09-2015,sausage
743,3842,01-07-2015,beef
744,2648,10-07-2015,tropical fruit
745,4688,02-10-2015,yogurt
746,3511,26-08-2015,frankfurter
747,3084,04-09-2015,bottled beer
748,3810,07-05-2015,grapes
749,4348,26-02-2015,beverages
750,3584,10-03-2015,curd
751,2620,11-06-2015,ice cream
752,2716,18-01-2015,sausage
753,3797,10-08-2015,other vegetables
754,2976,02-06-2015,dessert
755,2762,07-11-2015,decalcifier
756,3752,25-04-2015,canned beer
757,1659,30-11-2015,coffee
758,4109,08-02-2015,berries
759,1542,07-08-2015,pork
760,2068,07-06-2015,frankfurter
761,4509,14-06-2015,pork
762,4646,14-06-2015,frankfurter
763,2122,07-04-2015,frozen dessert
764,2730,15-06-2015,chicken
765,1800,31-07-2015,vinegar
766,1456,18-09-2015,rolls/buns
767,1138,02-09-2015,whole milk
768,4104,12-06-2015,pork
769,4985,28-02-2015,rolls/buns
770,3181,13-12-2015,grapes
771,3178,21-10-2015,frankfurter
772,1688,10-11-2015,finished products
773,1488,28-11-2015,onions
774,4975,08-05-2015,tropical fruit
775,4697,09-01-2015,other vegetables
776,4742,11-01-2015,ham
777,2640,22-04-2015,other vegetables
778,2548,25-12-2015,curd
779,2825,29-12-2015,sausage
780,2592,04-07-2015,canned beer
781,3622,28-12-2015,ham
782,4852,21-08-2015,packaged fruit/vegetables
783,1839,03-09-2015,meat
784,2413,04-04-2015,whole milk
785,2982,14-06-2015,canned beer
786,1981,31-10-2015,chicken
787,4440,21-09-2015,rolls/buns
788,3497,24-11-2015,pet care
789,3668,18-12-2015,root vegetables
790,4460,28-05-2015,pastry
791,1335,16-01-2015,frankfurter
792,4303,07-12-2015,chicken
793,3508,28-02-2015,frozen dessert
794,1959,19-03-2015,citrus fruit
795,3856,06-03-2015,sausage
796,3141,29-07-2015,root vegetables
797,4640,25-09-2015,root vegetables
798,4851,25-05-2015,bottled beer
799,3306,22-09-2015,frankfurter
800,2193,08-04-2015,root vegetables
801,1156,13-09-2015,berries
802,4596,08-04-2015,hamburger meat
803,1245,08-10-2015,tropical fruit
804,1515,05-07-2015,frankfurter
805,2564,14-07-2015,frankfurter
806,4527,18-10-2015,soda
807,2487,09-07-2015,ice cream
808,3420,27-02-2015,beef
809,4442,28-11-2015,whole milk
810,3164,30-04-2015,pork
811,3601,01-04-2015,whole milk
